arg-id,argument
A321_0,AIは民主主義の原則に沿うべきだという要望がある
A321_1,AIは西洋の民主主義だけでなく、世界中の民主主義に沿うべきだという意見がある
A341_0,AIと環境に関する公衆の認識を向上させる必要があるという要望がある
A341_1,AIと環境に関する教育を充実させる必要があるという要望がある
A341_2,AIと環境に関する公衆の参加を促進する必要があるという要望がある
A340_0,AIシステムの利益とリスクが一部のグループに集中せず、公平に分配されるべきだという要望がある
A339_0,AIが重要な環境決定を人間の監視なしに自動化または制御すべきではないという意見がある
A338_0,変革的なAIアプリケーションの開発と展開には、速度ではなく慎重さと配慮が必要だという意見がある
A337_0,AIシステムは効率や利益だけでなく、正義、エンパワーメント、環境保護を促進すべきだという要望がある
A336_0,AIガバナンスの枠組みに環境代表者を含めるべきだという要望がある
A336_1,AIガバナンスが生態系への影響を考慮するべきだという意見がある
A335_0,AIを活用して人類の環境負荷を監視、モデル化し、最終的に削減することを望む要望がある
A334_0,AI研究者と開発者は、自分たちの仕事が環境に与える影響を考慮する倫理的責任があるという意見がある
A333_0,AIシステムの環境負荷を理解するために包括的なライフサイクル評価を実施してほしいという要望がある
A332_0,AIシステムは持続可能性を考慮して設計・展開されるべきだという要望がある
A332_1,AIシステムの環境への影響、例えばエネルギー使用、材料、廃棄物を考慮する必要があるという意見がある
A331_0,AI開発はイノベーションを促進するべきだという要望がある
A331_1,AIの利益が地理的または経済的な障壁に関係なくすべての人にアクセス可能であるべきだという要望がある
A330_0,AI技術に対する包括的なリスク評価が必要だという要望がある
A330_1,AI技術の環境への影響だけでなく、社会的および倫理的な影響も評価してほしいという要望がある
A329_0,AIシステムによる無許可のデータ収集と使用から個人を保護するために厳格なデータプライバシー規制が必要だという要望がある
A328_0,AIは利益追求だけでなく、社会的課題の解決に重点を置いて開発・展開されるべきだという要望がある
A327_0,AI技術が環境への影響を軽減するために、できるだけエネルギー効率を高めるべきだという要望がある
A326_0,グローバルな基準は理想的だが、文化や社会的な規範を尊重するローカライズされたAI規制が必要だという意見がある
A325_0,AI開発は人間の幸福と環境の持続可能性を優先する普遍的な倫理的枠組みに従うべきだという要望がある
A323_0,AIの能力、限界、倫理的考慮について一般市民に教育するための取り組みが必要だという要望がある
A322_0,AI開発に関わるすべての組織が使用する方法論とデータセットを公開してほしいという要望がある
A322_1,倫理的で偏りのないAIシステムを確保するために、透明性を求める意見がある
A295_0,政府はAIの善用を促進するためにデータへのアクセスを拡大しつつ、プライバシーを保護する必要があるという要望がある
A320_0,AIガバナンスにおけるグローバルな協力が環境変化の管理に重要であるという意見がある
A319_0,AIの導入は自然と人間の尊厳を尊重する必要があるという要望がある
A318_0,AIが最適化を促進する一方で消費を増加させる可能性があることへの不安がある
A318_1,持続可能な価値観がAIの設計を導くべきだという要望がある
A317_0,AIの環境リスクを監視し、軽減する必要があるという意見がある
A317_1,AIのエネルギー使用量に対する不安がある
A317_2,AIによる電子廃棄物に対する不安がある
A316_0,ロボット技術と自動化が鉱業の影響を軽減できるが、エネルギー需要が増加する可能性があることへの不安がある
A316_1,エネルギー需要の増加に対する計画が必要だという要望がある
A307_0,AIによる衛星画像解析が生物多様性の減少を追跡することで保全活動を支援している
A297_0,AIシステムへの攻撃による社会的な害を防ぐために、より強力なデジタルセキュリティが必要だという要望がある
A294_0,AIの利点とリスクは文脈によって異なるため、一律のガバナンスでは不十分であるという意見がある
A293_0,AIが企業によって人々の最善の利益に反する形で操作や誘導に使われるべきではないという意見がある
A292_0,AIの規制枠組みは機敏で反復的かつ証拠に基づくものであるべきだという要望がある
A291_0,AIシステムによる被害が発生した場合の救済措置を導入してほしいという要望がある
A289_0,AIは人間の知能と創造性を補完するように設計されるべきであり、置き換えるべきではないという要望がある
A288_0,AIシステムが社会と相互作用する際の意図しない結果を継続的に再評価する必要があるという要望がある
A287_0,AIに関する国際的な基準が必要だという要望がある
A286_0,政府がデジタルインフラとAIスキルの訓練に投資するべきだという要望がある
A286_1,不平等を防ぐためにデジタルインフラとAIスキルの訓練が必要だという意見がある
A284_0,AIシステムによるプライバシーリスクを評価し、適切に軽減する必要があるという要望がある
A283_0,自律型兵器システムの致死的な決定をAIに委ねず、人間が制御すべきだという要望がある
A282_0,AIは人権法と価値観に基づいて開発・適用されるべきだという要望がある
A281_0,アルゴリズムの公平性、説明責任、透明性を確保する必要があるという要望がある
A281_1,AIシステムに対する公共の信頼を築くためにアルゴリズムの透明性を求める意見がある
A280_0,企業、国、政府が消費者やエンドユーザーに対してもっと教育と情報提供を行うべきだという要望がある
A279_0,企業や国がAI競争に集中しているが、社会的影響を十分に考慮していないことへの不満がある
A279_1,政府がAI技術に対する保護を十分に行っていないことへの不満がある
A278_0,AIがバイアスの原因とされることへの不満がある
A278_1,AIのトレーニングデータが既存のバイアスを示していることへの指摘がある
A278_2,根本的な問題を解決すべきだという要望がある
A277_0,新規参入者、製品、サービスによるAIインシデントの再発を軽減することに焦点を当てるべきだという要望がある
A277_1,顔認識技術における人種的偏見の問題があることへの不満がある
A276_0,AI技術は技術的な背景に関係なく、誰でもアクセスできるようにしてほしいという要望がある
